name,class,connector,NUMBER_OF_CELLS,CAPACITY,CHORD_1,WIDTH,COST,LENGTH,CHEMISTRY_TYPE,PEAK_DISCHARGE_RATE,SPAN,PACK_RESISTANCE,MODEL,TAPER_OFFSET,MOUNT_SIDE,CHORD_2,CONT_DISCHARGE_RATE,CORPUS,VOLUME_PERCENT,MODULE_VOLUME,VOLTAGE_REQUEST,VOLTAGE,WEIGHT,BASE_VOLTAGE,ROTATION,DISCHARGE_PLUG,BATTERY_TYPE,THICKNESS,MODULE_MASS
TurnigyGraphene2200mAh4S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",4S1P,2200,None,35,42.63,106.0,LiPo,150,None,13,TurnigyGraphene2200mAh4S75C,None,None,None,75,UAV,None,None,None,14.8,0.295,None,"('0', '0', '360', '0')",XT60,UAV,41.0,None
TurnigyGraphene1300mAh4S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",4S1P,1300,None,35,23.99,75.0,LiPo,150,None,12,TurnigyGraphene1300mAh4S75C,None,None,None,75,UAV,None,None,None,14.8,0.173,None,"('0', '0', '360', '0')",XT60,UAV,36.0,None
TurnigyGraphene6000mAh3S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",3S1P,6000,None,69,75.16,168.0,LiPo,150,None,7,TurnigyGraphene6000mAh3S75C,None,None,None,75,UAV,None,None,None,11.1,0.63,None,"('0', '0', '360', '0')",XT90,UAV,27.0,None
TurnigyGraphene4000mAh6S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",6S1P,4000,None,51,104.34,145.0,LiPo,150,None,16,TurnigyGraphene4000mAh6S75C,None,None,None,75,UAV,None,None,None,22.2,0.76,None,"('0', '0', '360', '0')",XT90,UAV,51.0,None
TurnigyGraphene1400mAh4S75C,Battery,"['Bottom_Connector', 'PowerBus', 'Top_Connector']",4S1P,1400,None,35,27.87,90.0,LiPo,150,None,17,TurnigyGraphene1400mAh4S75C,None,None,None,75,UAV,None,None,None,14.8,0.196,None,"('0', '0', '360', '0')",XT60,UAV,32.0,None
VitalyBeta,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2_out', 'PowerBus']",None,1.0,"('1000', '1', None, '1000')",None,None,None,None,0.1,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1000', '1', None, '1000')",0.01,UAM,"('100', '1', '100', '100')",87500.0,"('800', '1', None, '110')",None,None,11.1,None,None,Wing,"('200', '6', None, '40')",0.004
VitalyBeta_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,1.0,"('1000', '1', None, '1000')",None,None,None,None,0.1,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",0.01,UAM,"('100', '1', '100', '100')",87500.0,"('800', '1', None, '110')",None,None,11.1,None,None,Beam,"('200', '6', None, '40')",0.004
Avionic25AhNi_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,25.0,"('1000', '1', None, '1000')",None,None,None,None,55.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",35.0,UAM,"('100', '1', '100', '100')",13530263.008,"('800', '1', None, '110')",None,None,28.0,None,None,Beam,"('200', '6', None, '40')",25.5
Avionic40AhLi_beam,Battery,"['Battery_Connector_1', 'Battery_Connector_2', 'PowerBus']",None,40.0,"('1000', '1', None, '1000')",None,None,None,None,36.0,"('10000', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",21.3,UAM,"('100', '1', '100', '100')",20701909.047712006,"('800', '1', None, '110')",None,None,28.0,None,None,Beam,"('200', '6', None, '40')",20.32
Eagle100AhLi_cyl,Battery,"['Battery_Connector_1_out', 'Battery_Connector_2', 'PowerBus']",None,100.0,"('200', '1', None, '1000')",None,None,None,None,3.3,"('2500', '1', None, '1000')",None,None,"('0', '0', '1', '0')","('1', '1', '2', '1')","('1', '1', None, '1000')",1.0,UAM,"('100', '1', '100', '100')",37860732.0,"('400', '1', None, '110')",None,None,33.3,None,None,Cylinder,"('200', '6', None, '40')",35.0
